"year","apartment_type","mean_rent","median_rent","sd_rent","min_rent","max_rent"
2018,"Bachelor",772.625,732.5,161.105056673322,600,1080
2019,"Bachelor",815.375,761,162.409480282754,676,1141
2020,"Bachelor",864,818.5,177.281052085584,699,1204
2021,"Bachelor",907.5,865,172.828569066906,749,1217
2022,"Bachelor",972.5,966.5,199.058498221718,757,1306
2023,"Bachelor",1051.375,1052,205.984005967176,823,1414
2024,"Bachelor",1080,1030.5,220.816666037688,840,1448
2025,"Bachelor",1135.25,1088.5,207.796431978167,904,1491
