"year","apartment_type","mean_rent","median_rent","sd_rent","min_rent","max_rent"
2018,"1 Bedroom",772.625,732.5,161.105056673322,600,1080
2019,"1 Bedroom",815.375,761,162.409480282754,676,1141
2020,"1 Bedroom",864,818.5,177.281052085584,699,1204
2021,"1 Bedroom",907.5,865,172.828569066906,749,1217
2022,"1 Bedroom",972.5,966.5,199.058498221718,757,1306
2023,"1 Bedroom",1051.375,1052,205.984005967176,823,1414
2024,"1 Bedroom",1080,1030.5,220.816666037688,840,1448
2025,"1 Bedroom",1135.25,1088.5,207.796431978167,904,1491
