"year","mean_rent","CPI","rent_index","cpi_index"
2018,772.625,135,1,1
2019,815.375,137.5,1.05533085261285,1.01851851851852
2020,864,138.4,1.11826565280699,1.02518518518519
2021,907.5,143.2,1.17456722213234,1.06074074074074
2022,972.5,152.9,1.25869600388287,1.13259259259259
2023,1051.375,158.7,1.36078304481475,1.17555555555556
2024,1080,162.5,1.39783206600874,1.2037037037037
2025,1135.25,165.6,1.46934153049668,1.22666666666667
